ID,R,F,M,cluster,tsne_1,tsne_2
184,27,1,121.61,2,-31.519224,-13.529021
185,25,11,934.58,2,7.6011586,-6.3159313
186,16,15,591.06,1,13.061004,-19.692184
187,15,4,951.31,2,-15.101415,8.973027
188,12,11,914.0,2,9.826314,-21.814766
189,3,22,1058.0,1,23.487627,-23.997236
190,9,2,1111.51,2,-13.6020775,22.882671
191,17,9,458.52,2,-15.855866,-11.045128
192,27,18,927.59,1,14.774076,-9.9937315
193,73,1,1370.25,0,-4.5505543,-11.055776
194,17,1,946.53,2,-15.335629,5.920968
195,10,1,1474.41,2,-6.476831,18.773806
196,16,3,1661.03,2,-2.4971917,16.216871
197,0,9,1465.18,2,0.09178733,29.473671
198,17,3,1813.45,2,-0.9366043,16.186287
199,5,7,772.54,2,-22.06605,15.476259
200,4,1,172.82,2,-39.183254,3.5950143
201,14,4,552.37,2,-22.302397,8.193934
202,12,8,946.28,2,-17.978716,14.112177
203,26,2,651.99,2,-15.387847,0.621422
204,6,9,857.79,2,-20.405361,16.224682
205,7,4,1016.55,2,-14.27043,24.455526
206,5,6,1766.44,2,-1.7234766,26.449858
207,25,3,908.53,2,-9.273951,2.8001816
208,28,2,403.75,2,-28.664684,-13.983468
209,25,4,1270.75,2,-2.9805484,3.8667943
210,13,3,1157.92,2,-9.4933195,14.31342
211,13,1,497.09,2,-24.179869,6.1121626
212,2,1,216.78,2,-39.35549,4.6722436
213,23,16,1454.58,1,17.084446,-1.8339326
214,2,17,1027.58,1,22.200005,-27.273655
215,24,12,722.09,2,7.6226234,-8.969834
216,15,7,282.19,2,-19.141651,-10.252155
217,11,4,106.96,2,-33.09801,0.31706497
218,18,1,999.75,2,-14.309788,6.0038466
219,24,14,1139.33,1,12.581325,-4.455964
220,24,5,836.72,2,-11.135265,1.2599592
221,3,2,1678.54,2,-6.1772723,30.474466
222,3,17,1337.34,1,20.666674,-27.50414
223,1,4,1335.77,2,-8.970013,27.155733
224,11,2,810.2,2,-16.600277,20.098753
225,29,11,943.9,2,7.046574,-5.442616
226,51,12,5135.77,0,11.796026,14.109378
227,6,9,984.12,2,-20.103834,16.69515
228,6,5,1413.55,2,-7.020406,26.376867
229,1,6,381.95,2,-32.74295,8.002161
230,6,14,788.22,1,15.650196,-26.306654
231,29,1,80.8,2,-31.88959,-14.96629
232,21,1,611.13,2,-17.825644,2.0750535
233,24,4,1766.35,2,0.57488704,8.981299
234,0,2,1516.76,2,-8.433747,29.3818
235,9,6,1925.2,2,1.1359203,22.128664
236,17,1,344.23,2,-30.784697,-5.7959924
237,49,1,204.1,0,-7.390275,-8.092904
238,5,2,1257.59,2,-11.548169,25.782507
239,7,3,1095.09,2,-13.517621,24.122635
240,2,1,123.76,2,-39.99661,4.083976
241,3,2,696.82,2,-28.147812,14.57814
242,26,2,1487.35,2,-2.6547496,7.1128345
243,19,3,1278.43,2,-9.727043,9.919626
244,28,14,627.97,1,9.481554,-10.480204
245,12,1,95.0,2,-35.47121,-2.3509283
246,14,4,1827.01,2,-0.18532033,18.193336
247,10,6,754.05,2,-21.189209,12.717502
248,19,2,922.93,2,-14.549855,5.3175573
249,12,12,257.4,2,8.12956,-24.546368
250,1,14,676.34,1,14.800861,-27.763424
251,3,19,984.32,1,22.922056,-26.023565
252,27,32,1914.06,1,27.966349,-11.0763
253,13,4,1953.81,2,-3.8774095e-05,19.170177
254,1,4,768.02,2,-26.314333,15.5896845
255,61,13,1379.86,0,-2.4970808,-10.252404
256,42,1,1054.24,0,-6.2276073,-6.171307
257,21,11,298.34,2,-14.900948,-14.067645
258,17,5,841.04,2,-14.980228,9.886269
259,8,9,1757.87,1,1.2491481,25.716396
260,22,11,1010.7,2,8.899745,-6.1767178
261,13,6,948.83,2,-17.5596,12.8383045
262,12,24,852.95,1,25.635155,-18.194086
263,7,7,1532.72,2,-3.8387382,25.925669
264,11,6,1891.29,2,1.6213715,20.650846
265,10,21,1900.33,1,31.244827,-0.73754627
266,16,13,598.84,2,10.500978,-19.895401
267,8,21,1622.91,1,31.035666,-2.5097399
268,21,7,536.53,2,-16.991465,-5.536236
269,66,6,180.51,0,-5.8462176,-10.162359
270,18,8,1751.33,2,5.1514916,14.016814
271,26,1,1146.43,2,-6.0311084,4.820856
272,24,6,654.8,2,-16.823038,-3.9630752
273,4,3,1599.58,2,-6.6314087,29.709648
274,14,16,1317.4,1,21.860407,-0.46838772
275,16,18,1665.03,1,23.896828,0.82756597
276,11,17,440.21,1,15.86704,-20.685196
277,16,3,1689.94,2,-2.0864897,16.390242
278,3,12,1163.78,1,25.72971,15.276325
279,11,6,664.23,2,-21.640978,11.986441
280,10,4,1658.4,2,-3.1329803,19.522158
281,3,8,1293.56,2,-5.9611382,24.500488
282,59,14,912.94,0,-2.3676105,-10.420607
283,25,2,1265.24,2,-5.0999823,5.4212255
284,20,6,1169.96,2,-11.795459,10.84069
285,25,3,735.19,2,-14.173971,1.1191785
286,5,6,1749.68,2,-1.9815831,26.636934
287,17,15,483.51,1,13.407326,-19.17745
288,23,22,1436.67,1,23.481766,-7.3081684
289,16,2,1439.93,2,-4.9769454,15.396999
290,16,1,252.12,2,-32.02487,-5.299171
291,7,14,848.68,1,15.7095,-25.836233
292,30,9,252.98,2,-16.15599,-18.575518
293,5,2,464.9,2,-29.649946,11.649573
294,3,2,50.14,2,-40.693474,3.6255748
295,5,5,1381.21,2,-7.549158,26.227364
296,23,1,1606.04,2,-2.5066786,9.268947
297,8,11,309.45,2,8.683733,-26.440985
298,69,15,1441.57,0,-2.3704133,-11.205121
299,12,8,434.36,2,-16.759129,-9.376211
300,61,6,1893.97,0,-2.7791908,-8.781982
301,16,18,1391.11,1,22.068586,-1.6734692
302,12,24,1292.14,1,30.259062,-6.976206
303,3,6,312.33,2,-32.89393,7.0888157
304,17,24,845.68,1,23.451824,-15.113815
305,16,6,1993.47,2,2.3460484,18.305058
306,22,2,1414.29,2,-3.915401,8.604189
307,2,11,472.46,2,10.869426,-27.824219
308,10,1,1255.44,2,-12.124478,22.368439
309,7,12,1256.98,1,25.101843,13.949098
310,15,9,904.91,2,-16.167454,13.587008
311,8,9,237.52,2,7.6360507,-26.95425
312,7,11,1143.16,2,24.514809,14.56917
313,20,7,805.15,2,-15.030131,-5.0637894
314,15,4,1259.42,2,-9.925337,12.961488
315,11,7,247.64,2,-21.467749,-8.770402
316,3,1,1391.51,2,-9.729897,28.978497
317,12,18,866.59,1,19.48145,-22.015059
318,71,23,1127.95,0,-1.5469555,-11.772265
319,25,9,1535.08,2,6.72545,5.6270614
320,20,13,911.15,1,10.211927,-7.2766047
321,20,5,1001.84,2,-12.453638,9.487836
322,10,1,91.93,2,-36.62867,-0.85738975
323,15,7,1172.57,2,-12.926499,13.293518
324,9,18,1882.22,1,29.674852,2.5445654
325,1,19,528.68,1,26.074638,-25.598215
326,21,11,1943.65,1,9.510365,8.875784
327,28,7,570.73,2,-17.563684,-19.095186
328,5,6,909.57,2,-22.33915,16.246717
329,12,8,1406.95,2,19.542915,14.702039
330,10,11,1060.91,2,23.245184,14.39995
331,4,1,90.67,2,-39.819843,3.1437798
332,17,15,1757.5,1,20.43515,5.4617763
333,65,11,1082.01,0,-3.198694,-10.532796
334,1,6,1665.49,2,-2.5802584,28.165537
335,20,17,553.53,1,15.370111,-14.999517
336,24,18,1568.74,1,17.476223,-0.20891996
337,24,4,993.88,2,-8.495716,3.2786984
338,9,17,511.39,1,16.398602,-21.34912
339,12,23,7149.96,1,13.080125,15.117186
340,11,16,1994.53,1,27.38983,4.540097
341,6,13,399.26,2,10.299456,-26.391699
342,20,7,211.93,2,-18.889952,-13.32171
343,16,2,1466.19,2,-4.6153183,15.39569
344,29,2,1185.26,2,-5.071396,3.8465848
345,22,16,1400.35,1,17.496708,-2.2137215
346,11,1,433.0,2,-25.687117,6.811878
347,10,4,238.6,2,-32.66078,1.1353002
348,22,3,1393.92,2,-4.3016033,8.350866
349,7,3,720.16,2,-26.18206,12.973333
350,26,16,1810.43,1,16.362375,2.5382223
351,24,6,230.28,2,-19.332159,-16.379288
352,4,4,772.84,2,-25.671404,14.895293
353,26,1,339.03,2,-29.681395,-12.848672
354,5,19,1118.51,1,21.505016,-25.614676
355,1,6,328.31,2,-33.209747,7.7481647
356,21,17,1385.52,1,18.394154,-2.1854014
357,47,5,169.25,0,-7.197829,-8.246112
358,8,18,1177.91,1,20.38185,-24.822882
359,26,12,879.69,2,7.9308825,-7.368435
360,11,3,446.58,2,-24.573109,7.79133
361,16,1,1437.14,2,-4.884517,14.822223
362,13,21,695.48,1,22.80109,-18.433306
363,27,16,1715.16,1,15.881491,1.6980362
364,19,1,1048.5,2,-13.447864,5.946271
365,2,17,1545.94,1,32.561222,2.6396825
366,22,1,656.28,2,-17.06034,1.8254354
367,15,11,620.08,2,9.173059,-20.465162
368,16,12,1111.76,1,21.517065,12.42415
369,26,5,1440.3,2,-0.8658705,5.18258
370,30,11,173.89,2,-15.284095,-18.747238
371,29,9,365.41,2,-15.924629,-18.00516
372,29,19,1495.14,1,19.804651,-5.8318233
373,7,24,1456.31,1,32.574883,-4.9516063
374,13,13,1327.45,1,22.464985,11.049539
375,24,1,1445.07,2,-3.3252454,7.9254394
376,20,2,67.47,2,-32.453,-8.254819
377,15,14,759.95,1,11.634291,-20.01795
378,8,11,268.31,2,8.462192,-26.253117
379,44,11,887.47,0,7.6219745,-1.3858547
380,8,22,1970.75,1,32.08466,-1.0021726
381,26,2,335.05,2,-29.185698,-13.078045
382,13,19,419.22,1,17.128239,-19.75277
383,7,12,494.74,2,10.046759,-25.974146
384,10,11,1535.51,1,24.793627,11.1537895
385,9,1,571.11,2,-26.181675,8.788998
386,12,1,1491.21,2,-5.6986012,18.009579
387,12,3,1385.53,2,-6.8111835,16.90033
388,1,11,1030.93,2,25.762579,16.396544
389,4,4,978.71,2,-14.840589,25.012266
390,15,1,516.33,2,-21.07688,4.469127
391,6,24,543.75,1,26.51655,-21.777905
392,5,4,356.23,2,-33.09611,9.243123
393,10,18,1789.67,1,29.085325,2.24972
394,24,16,1978.79,1,17.162918,3.595379
395,16,5,434.48,2,-19.21963,-7.5146685
396,22,23,1458.64,1,24.185165,-7.460466
397,15,1,854.1,2,-16.754345,6.224374
398,18,13,1879.27,1,20.52931,6.378671
399,8,24,1901.09,1,32.88288,-2.1156943
400,39,2,1521.44,0,-4.1435466,-3.7664583
401,14,13,1956.9,1,22.489063,6.2693954
402,12,14,690.06,1,11.990269,-21.110514
403,1,18,1157.17,1,21.713116,-26.900026
404,17,6,600.46,2,-16.873606,-6.7885933
405,1,21,1108.49,1,23.045912,-24.819431
406,25,23,512.01,1,21.048065,-13.522605
407,25,11,1510.08,1,7.9335804,5.0248356
408,27,21,1255.12,1,20.685966,-7.9336824
409,3,5,1676.56,2,-3.5248623,27.939896
410,1,17,1974.68,1,31.423569,5.1033897
411,28,4,418.22,2,-27.19253,-14.173642
412,1,19,1577.28,1,33.286625,1.7027915
413,5,24,1416.82,1,33.24363,-4.9010997
414,23,9,1300.04,2,2.573923,1.4568346
415,12,23,1206.86,1,29.710945,-7.4865265
416,11,16,1699.1,1,27.756165,3.0719213
417,10,19,1031.1,1,20.273478,-23.251043
418,8,9,414.99,2,7.961681,-27.36907
419,58,8,1262.55,0,-3.44963,-9.555999
420,18,4,1254.34,2,-10.317218,10.76754
421,7,1,1103.45,2,-14.236062,22.683376
422,8,14,1802.11,1,28.307049,7.962213
423,0,2,387.24,2,-38.069595,6.6690087
424,19,22,1204.62,1,24.482311,-8.911292
425,27,19,1058.39,1,18.505548,-8.708492
426,22,1,696.37,2,-16.69987,2.1491487
427,12,7,1055.71,2,-17.470222,13.73681
428,2,14,1649.81,1,28.14302,9.145365
429,27,19,1293.73,1,19.432472,-7.088953
430,20,16,1517.39,1,18.825584,-1.251219
431,28,3,1497.35,2,-2.0681975,6.2431593
432,4,9,399.02,2,8.937634,-28.189436
433,6,1,1598.45,2,-7.8305674,31.238474
434,0,18,1300.99,1,21.296951,-27.6274
435,18,15,1008.74,1,13.679634,-6.660458
436,13,8,1819.96,2,3.89622,19.386244
437,21,18,630.47,1,15.748413,-14.36027
438,6,5,1478.86,2,-6.325043,26.594427
439,16,21,1562.08,1,26.878033,-5.345849
440,29,9,1171.59,2,4.008384,-0.83298707
441,8,21,1642.86,1,31.07396,-2.1838777
442,11,19,1373.12,1,27.74793,-1.7568614
443,8,5,180.07,2,-32.69726,2.9195254
444,2,18,996.17,1,22.674051,-26.684452
445,7,1,45.23,2,-39.159447,1.1156267
446,29,11,1049.44,2,7.2438507,-4.616226
447,16,8,220.03,2,-18.588259,-11.276567
448,19,7,393.14,2,-17.705927,-11.734541
449,14,17,1963.58,1,26.612453,3.9504268
450,9,6,147.12,2,-31.621525,2.9666498
451,6,7,1279.7,2,-7.0671606,24.56846
452,24,1,633.17,2,-16.511362,1.1460508
453,12,1,1562.66,2,-5.205661,18.222824
454,14,21,1354.59,1,28.301989,-5.5993495
455,8,1,911.62,2,-16.180527,21.95353
456,25,4,1725.82,2,0.4320968,8.285352
457,4,4,573.16,2,-27.335756,12.401535
458,14,13,1331.53,1,22.066984,10.786645
459,13,14,1688.13,1,24.497995,7.648943
460,13,4,180.0,2,-32.896038,-0.9426121
461,4,22,636.38,1,25.71265,-22.744923
462,10,8,830.24,2,-19.479855,14.888258
463,20,22,641.43,1,21.42724,-15.220294
464,4,1,790.84,2,-28.80857,15.660052
465,17,22,686.0,1,22.265766,-16.216566
466,29,18,839.53,1,14.973067,-10.443298
467,7,22,1862.15,1,32.4112,-1.3866246
468,4,2,1645.01,2,-6.759417,30.618895
469,26,13,678.39,2,8.656883,-9.676564
470,1,15,1287.7,1,20.065842,-28.419184
471,24,12,1138.13,1,9.940087,-5.010712
472,25,21,1081.9,1,20.551617,-9.347411
473,1,11,432.32,2,10.786365,-28.083254
474,18,13,437.33,2,9.730395,-18.734512
475,24,23,852.05,1,21.876226,-12.374985
476,18,5,1686.86,2,1.5523959,14.175838
477,39,15,1420.24,1,9.246423,-0.5253026
478,27,11,869.55,2,6.983158,-6.8969784
479,25,8,1919.58,2,6.4796877,9.107232
480,12,22,1451.94,1,29.46399,-5.138455
481,2,1,1824.64,2,-5.4403205,32.22419
482,7,11,1877.28,1,29.655764,10.556387
483,6,24,1717.3,1,33.277824,-3.0261264
484,17,16,6148.05,1,12.716827,14.953143
485,13,2,111.17,2,-34.32447,-2.8808777
486,21,1,621.61,2,-17.606474,2.3665469
487,16,1,1663.79,2,-2.9939055,15.0785265
488,7,7,1247.65,2,-7.3593335,24.236702
489,5,1,198.72,2,-38.66676,2.9756594
490,8,1,927.95,2,-16.014164,22.259853
491,33,1,117.62,2,-31.175692,-15.846731
492,6,13,1674.32,1,27.613443,9.809678
493,1,21,734.98,1,25.415367,-24.345438
494,5,11,1387.5,1,26.16234,13.341401
495,8,18,488.5,1,17.099586,-21.31288
496,7,6,92.63,2,-32.790775,3.9604816
497,6,7,1808.21,2,-0.75007,26.16378
498,19,21,910.94,1,20.051096,-15.167305
499,14,6,1564.15,2,2.7515955,15.851857
500,25,14,1894.13,1,16.191793,4.238966
501,10,12,751.38,2,10.888909,-22.205532
502,4,11,1813.51,1,29.511187,11.318688
503,4,6,1367.15,2,-6.937268,25.616747
504,15,5,1264.09,2,-10.728802,12.947313
505,7,1,685.55,2,-29.48043,13.835559
506,4,4,1296.34,2,-9.344183,26.109182
507,14,7,1300.12,2,-12.003306,13.954666
508,38,15,1728.68,1,9.720839,-0.16156213
509,11,1,487.28,2,-25.41365,7.1834497
510,4,12,1313.31,1,26.039597,14.140884
511,25,17,1694.35,1,16.850597,1.1522845
512,5,2,1931.97,2,-4.571584,32.007603
513,27,22,1372.36,1,21.560936,-7.650848
514,26,18,1731.94,1,17.271687,1.3681725
515,19,1,1496.83,2,-3.906719,13.417642
516,22,15,1798.79,1,17.88885,4.441908
517,11,6,803.94,2,-20.53939,12.723278
518,24,11,1505.96,1,8.203295,5.0517545
519,17,1,120.52,2,-33.00453,-5.8912177
520,18,7,936.77,2,-14.519936,11.662041
521,23,7,1824.41,2,5.6856356,10.00052
522,17,5,177.08,2,-21.156199,-11.604226
523,1,19,867.99,1,23.962067,-25.94051
524,21,17,756.88,1,15.308526,-14.165998
525,13,4,6433.81,1,12.579109,15.01693
526,38,2,1947.54,0,-3.7177327,-3.4048047
527,19,5,549.35,2,-18.420132,-6.0555997
528,26,8,1680.69,2,5.839363,7.229808
529,30,12,555.2,2,8.359425,-11.014041
530,7,6,334.12,2,-31.688356,5.15315
531,17,19,925.89,1,19.130821,-16.29523
532,27,6,249.2,2,-18.608444,-17.403513
533,12,14,666.3,1,12.160671,-21.238134
534,27,17,1955.27,1,16.74655,2.850704
535,8,11,363.62,2,8.950781,-26.258806
536,4,8,1728.0,2,-0.54489625,27.420298
537,20,9,197.43,2,-16.719513,-13.692648
538,28,24,973.93,1,21.773745,-11.11267
539,27,12,1051.75,1,8.386884,-5.104231
540,12,19,1315.32,1,27.469124,-2.1947515
541,4,13,1628.32,1,27.695948,10.187357
542,13,12,1452.1,1,22.747484,10.3803835
543,16,21,1591.59,1,26.76883,-5.229371
544,10,1,487.24,2,-25.872084,7.6636143
545,36,18,839.52,1,15.748912,-10.003644
546,8,11,1729.52,1,28.602282,11.18107
547,13,3,1679.0,2,-2.8541975,17.910364
548,2,18,780.88,1,24.335564,-26.46761
549,9,5,498.99,2,-23.679333,10.966655
550,26,11,1932.64,1,8.484797,8.2234125
551,27,1,98.39,2,-32.015102,-13.617422
552,5,6,239.36,2,-32.70847,5.752868
553,23,13,866.19,1,9.230471,-7.8772464
554,27,4,1469.94,2,-1.3230939,5.876998
555,26,7,1273.07,2,0.6691011,1.8834336
556,24,19,1617.51,1,17.824251,0.23373425
557,24,9,334.68,2,-16.00773,-16.01259
558,7,12,1288.1,1,25.217115,13.666248
559,42,2,1784.51,0,-3.8564062,-3.6903558
560,16,7,1234.33,2,-12.268893,13.179256
561,21,21,1730.02,1,24.700193,-4.974338
562,13,3,1512.12,2,-5.0544667,17.01301
563,9,4,93.0,2,-33.43116,1.5727298
564,26,3,1767.68,2,-0.1298649,8.359677
565,24,11,1640.19,1,8.40383,6.1469426
566,5,6,750.26,2,-23.062252,15.291935
567,6,12,299.66,2,9.566419,-26.735695
568,19,14,1735.09,1,19.722189,6.115144
569,26,11,1628.49,1,8.27117,5.8024883
570,20,4,1155.02,2,-10.9384985,9.421262
571,22,8,1923.31,2,6.7356563,10.177742
572,2,18,391.1,1,26.385551,-26.207447
573,13,14,411.61,1,13.328211,-21.44303
574,21,4,1631.06,2,0.5869449,12.132684
575,21,18,1359.47,1,18.996794,-2.635143
576,26,3,1083.38,2,-6.6449347,3.3158848
577,23,16,1320.69,1,16.883299,-2.8042977
578,13,21,564.33,1,22.060574,-18.374086
579,13,3,1936.93,2,-0.83388096,18.780046
580,12,21,766.06,1,23.426088,-18.779728
581,23,8,1090.77,2,1.8907046,0.2282012
582,25,9,1932.46,1,7.31346,8.912915
