Goods,Types,count,transaction_count,support
特制门锁,百货,269,269,0.028751603249251818
一般饮料,饮料,256,256,0.027362120564343735
火腿,肉类,256,256,0.027362120564343735
一般肉类,肉类,254,254,0.0271483539974348
冰淇淋,零食,246,246,0.02629328772979906
切片奶酪,西点,241,241,0.025758871312526722
硬奶酪,西点,241,241,0.025758871312526722
猫食,百货,229,229,0.024476271911073107
葡萄,果蔬,220,220,0.0235143223599829
口香糖,零食,207,207,0.02212483967507482
一般清洁剂,百货,189,189,0.0202009405728944
腌菜,食品类,176,176,0.01881145788798632
半成品面包,西点,174,174,0.018597691321077383
发酵粉,米粮调料,174,174,0.018597691321077383
碗碟,百货,173,173,0.018490808037622916
面粉,米粮调料,171,171,0.01827704147071398
盆栽,百货,170,170,0.018170158187259512
软奶酪,西点,168,168,0.01795639162035058
融化奶酪,米粮调料,163,163,0.017421975203078238
香草,米粮调料,160,160,0.017101325352714837
意大利面,熟食,148,148,0.01581872595126122
罐头鱼,米粮调料,148,148,0.01581872595126122
季节性商品,百货,140,140,0.014963659683625482
风味蛋糕,西点,130,130,0.013894826849080803
包装水果/蔬菜,果蔬,128,128,0.013681060282171868
芥末,米粮调料,118,118,0.01261222744762719
冷冻鱼,肉类,115,115,0.012291577597263788
保鲜膜/袋,百货,112,112,0.011970927746900385
水果奶油涂抹酱,米粮调料,110,110,0.01175716117999145
冷冻甜点,肉类,106,106,0.011329628046173578
盐,米粮调料,106,106,0.011329628046173578
罐头蔬菜,米粮调料,106,106,0.011329628046173578
厨房清洁剂,百货,103,103,0.011008978195810174
花卉种子,百货,102,102,0.010902094912355708
卷装制品,百货,101,101,0.010795211628901239
炼乳,米粮调料,101,101,0.010795211628901239
宠物护理用品,百货,93,93,0.009940145361265498
相片/膜,百货,91,91,0.009726378794356562
蛋黄酱,米粮调料,90,90,0.009619495510902095
巧克力棉花糖,零食,89,89,0.009512612227447627
甜食,西点,89,89,0.009512612227447627
蜡烛,百货,88,88,0.00940572894399316
特色奶酪,西点,84,84,0.00897819581017529
狗粮,百货,84,84,0.00897819581017529
冷冻土豆制品,果蔬,83,83,0.00887131252672082
保管产品,未分类,82,82,0.008764429243266354
火鸡,肉类,80,80,0.008550662676357419
即食食品,熟食,79,79,0.00844377939290295
白饭,熟食,75,75,0.00801624625908508
速溶咖啡,饮料,73,73,0.007802479692176144
爆米花,零食,71,71,0.0075887131252672085
面包干,西点,68,68,0.007268063274903805
汤类,熟食,67,67,0.007161179991449338
成品,熟食,64,64,0.006840530141085934
醋,米粮调料,64,64,0.006840530141085934
女性卫生用品,百货,60,60,0.006412997007268063
厨房毛巾,百货,59,59,0.006306113723813595
牙齿保健用品,百货,57,57,0.00609234715690466
谷物,米粮调料,56,56,0.005985463873450192
柔软剂,百货,54,54,0.005771697306541257
酱油,米粮调料,54,54,0.005771697306541257
果酱,米粮调料,53,53,0.005664814023086789
香辛料,米粮调料,51,51,0.005451047456177854
凝乳酪,西点,50,50,0.005344164172723386
干面包,西点,50,50,0.005344164172723386
清洁工具,百货,50,50,0.005344164172723386
男性化妆品,百货,45,45,0.004809747755451048
番茄酱,米粮调料,42,42,0.004489097905087645
肉泥,肉类,42,42,0.004489097905087645
电灯泡,百货,41,41,0.004382214621633177
茶,饮料,38,38,0.004061564771269773
特色油脂,米粮调料,36,36,0.003847798204360838
皮肤护理用品,百货,35,35,0.0037409149209063704
腐蚀性清洁剂,百货,35,35,0.0037409149209063704
坚果/李子,零食,33,33,0.003527148353997435
甜味剂,米粮调料,32,32,0.003420265070542967
糖水,熟食,32,32,0.003420265070542967
罐装水果,米粮调料,32,32,0.003420265070542967
坚果小吃,零食,31,31,0.003313381787088499
小吃类食品,熟食,30,30,0.0032064985036340315
鱼,肉类,29,29,0.003099615220179564
马铃薯产品,熟食,28,28,0.002992731936725096
浴室清洁剂,百货,27,27,0.0028858486532706284
炊具,百货,27,27,0.0028858486532706284
肥皂,百货,26,26,0.0027789653698161608
烹饪巧克力,米粮调料,25,25,0.002672082086361693
小食,食品类,23,23,0.0024583155194527577
布丁粉,米粮调料,23,23,0.0024583155194527577
可可饮料,饮料,22,22,0.00235143223599829
有机香肠,肉类,22,22,0.00235143223599829
花土/肥料,百货,19,19,0.0020307823856348865
即食汤,熟食,18,18,0.001923899102180419
特色蔬菜,果蔬,17,17,0.0018170158187259514
有机蔬菜,果蔬,16,16,0.0017101325352714834
脱钙液,百货,15,15,0.0016032492518170158
蜜糖,米粮调料,15,15,0.0016032492518170158
奶油,西点,13,13,0.0013894826849080804
冷冻水果,果蔬,12,12,0.0012825994014536127
发胶,百货,11,11,0.001175716117999145
医用酒精,百货,10,10,0.0010688328345446773
甜味烈酒调和剂,米粮调料,9,9,0.0009619495510902095
卸妆液,百货,8,8,0.0008550662676357417
沙拉酱,米粮调料,8,8,0.0008550662676357417
马桶清洁剂,百货,7,7,0.000748182984181274
冷冻鸡肉,肉类,6,6,0.0006412997007268063
婴儿化妆品,百货,6,6,0.0006412997007268063
包装袋,百货,4,4,0.00042753313381787086
厨房用具,百货,4,4,0.00042753313381787086
防腐用品,百货,2,2,0.00021376656690893543
唱片,百货,1,1,0.00010688328345446772
婴儿食品,百货,1,1,0.00010688328345446772
